id;language;translation;hash
538;en;"Use in filter";84c8bd05198af2403a0d064ff9e3cfae
539;en;"Allow filter template fields";5323615e7f4693645fedfa64fb191b24
541;en;Comments:;e0c10111a6027b329a809d9a7dbc5507
542;en;"Only for items.";2a2a99128e177863055a2ec1f3a042f9
543;en;Parameters;d650e9539ae811be5a2edc89b8bc4112
545;en;View;e96c08b731bf6d1924f5c3531c4a71eb
546;en;"View Templates";3dda1bede7cf7c51a676c3e76abddb99
547;en;"Template fields";122695561460f9dca730fa413acd81cb
548;en;"Item template";850d75291d72b0e1418a77bc7abd0163
549;en;"Item template in list";24ff77a8744313831e8927856c306062
550;en;"Cart Item Template";2cbf5c8d12ea420b8ce3a53c8b502371
551;en;"Used fields.";90706ed612f82d5c4b6b335fd432c9a6
552;en;"Possible values";98fbf25479d3993211e685a5ec78ae43
553;en;"For all fields used.";6829afd38e3d941c1ac595cb0dacc3ee
559;en;"Built-in blocks.";e6919f4714cb03a1347970e74c7e766b
560;en;"<strong> {!like!} </strong> - ""Like"" button.";e578988527bcb8a82354021f475ce462
561;en;"<strong> {!like-dislike!} </strong> - like and dislike buttons.";6c912762c385c4a83cee09a0cc635b27
562;en;"<strong>{!stars!} </strong> - rating.";e1f6d67b377c28998cd14b714259de50
563;en;"<strong> {!comments!} </strong> - block comments.";e1f6d67b377c28998cd14b714259de50
564;en;Picture.;c26bb733c283a7045dad0f171a8418ee
567;en;"YouTube video.";b63a5324d55c624c73541eb33dee415d
570;en;"Item page";264650f338fc3f68caf0a2382cadad6a
571;en;"Item in list";2e96e7ce6ac9145018192d8ee2ac1978
572;en;"Position (before)";13afa147894dab36407344f96a065995
573;en;"No fields.";7049c416de735ea7f1273c90d9361d5c
574;en;"No data found.";0481ee42d1a84b943d39a9a566196b85
575;en;"Fields and messages";a682b7e600ab6e2155f17837c224207b
576;en;"Type of view";949bab82e13566850a1c0505e46f727d
577;en;View;ec752195c0e9bcb6508e8cb1f9a8031c
578;en;"Only for the section ""Promotions / discounts.""";175ae85e1f667f4a6eb725231a478050
581;en;Price.;947f5deebd601d060a883f600c52846d
587;en;"Promotion / discount";1d8d24c5c13d46d7906b0f97d9a81c2d
588;en;"Select a currency.";95f0443fc9be83d8adf5a69d044a185d
589;en;"Discounted price";b889c9973a7ea625c4dd5a0085734742
590;en;"Discount percentage";ac5e628f27d632570255965b880a0f99
591;en;"Promotions / discounts";e96da9cfa30a28d835d11574b168f7fc
592;en;"<p>Promotions / discounts<br></p>";a33f91d1f8021d9f163a165e2e148e91
593;en;"<h1>Promotions / discounts</h1>";a33f91d1f8021d9f163a165e2e148e91
594;en;"Template for promotions and discounts";5ebe0b21f3bb23b7f18b3d4078ebf823
595;en;"Discount end date";817982b85154ba734c94a02a4486e79a
596;en;"Form of payment";58d5fb603be6f6d1914dae4143ce8041
597;en;"To pay";22cf40d5e3a9c1468ed5cf0d80198c6b
606;en;"Item in the cart";8d176414a106aa081eb74e45671b8535
607;en;"User IP";f3df1442d093f09144970aa458ab7460
608;en;Assortment;ad3366b4c03680aaa4e14341e0eb0df1
609;en;"Quantity of assortment in the order form";b66c4ccc751f17fea57bdf360dacab77
610;en;"Amount of assortment available";5bf27c43f75beebc87e9536a6a96aef5
611;en;Measure;dd4160cd3e09ca66792861752be3fb5c
612;en;"Not enough data.";812711bed736b8f90126f9fb292dad87
613;en;"Assortment is required.";4e5d277ce59db54933365f9c4d2d8640
614;en;"Quantity in stock is required.";0fed1dba352794bcc4f42e78afe038cf
615;en;"Select a measure of measurement.";64959c873dc315cccad2c87c01e2a241
616;en;"Assortment must be a positive number.";dccb4e1bd3852d142d993c4c75290cc5
617;en;"Data error";6e0cc8822ebae9734e5d649d7fc16019
618;en;"The quantity of assortment in stock should be a positive number.";6fa392cd677cdb0ff111fe36dd218e06
619;en;"The quantity of assortment chosen by the buyer must be a positive number.";3881ecad6df7b7edbaf8392d285bf6d2
620;en;"The quantity of assortment chosen by the buyer shall not exceed the quantity in stock.";48ed8d22a869b5d6a012bdb1ab7f920b
621;en;"The quantity of assortment in stock should not be less than the buyer can choose.";999ed53043c550a0a5c1424951253cae
623;en;"Link to document";0c674f8f5890077097ab0b0e134799ae
624;en;thing;943755b94db076cd7258a3dfa39d19bc
625;en;mm;c3ff1bdbc960f18f4c84fe9152ee7a78
626;en;cm;8c2508609017c1fa6dda58e68655d91b
627;en;m;7f840a43fd3e61f6f624d25fee3f4c85
631;en;mg;cbf8a7ad219bf42b73a3723181b396a4
632;en;g;864c7f09e43789b7c4b2f5ecfdf3b1cf
633;en;kg;51519971f46cd279f997ab4cb1edaa4a
634;en;ton;6c1494c85bf880026394c05d2b520eac
635;en;ml;a5239adcc01bce4b8e0fbde5d3a970ff
636;en;l;e7cbb4db3348a0ea07284454a8d66aa0
638;en;"You already have the maximum quantity of this product in the basket.";956205885d6a08c31560ebe16613dd90
639;en;"Indicate the quantity of the assortment sold.";1d39c5e0a5b011a783c21b101f972aa1
640;en;"Measure of the measure of the assortment sold.";70fefc6edab13b275bb513a80a2c8616
641;en;"Quantity of assortment in the order form. If the field is empty, equal to the total.";e2c923288f492902d28835883743fb7d
642;en;"Specify the total quantity of assortment (in stock).";e2c923288f492902d28835883743fb7d
644;en;"Shopping cart template";56982b2dd07a71d4a8333881043774d2
649;en;Element;88b36db3bdad656a2c3dc7ded0d8b3eb
654;en;"Template for articles";013b33bfa78a9d97427850bf52e13570
655;en;"Product Template";67ff9f52709fa4160c1da4f0d9db98c1
656;en;"Profile template";48ec8cd7ee885a7f07b90af5a1bbfdee
